Species,Weight,Length,Diagonal,Height,Width
Perch,700,37,39.4,10.835,6.2646
Perch,690,37,39.3,10.5717,6.3666
Perch,900,39,41.4,11.1366,7.4934
Perch,650,39,41.4,11.1366,6.003
Perch,820,39,41.3,12.4313,7.3514
Perch,850,40,42.3,11.9286,7.1064
Perch,900,40,42.5,11.73,7.225
Perch,1015,40,42.4,12.3808,7.4624
Perch,820,40,42.5,11.135,6.63
Perch,1100,42,44.6,12.8002,6.8684
Perch,1000,43,45.2,11.9328,7.2772
Perch,1100,43,45.5,12.5125,7.4165
Perch,1000,43.5,46,12.604,8.142
Perch,1000,44,46.6,12.4888,7.5958
Pike,200,32.3,34.8,5.568,3.3756
Pike,300,34,37.8,5.7078,4.158
Pike,300,35,38.8,5.9364,4.3844
Pike,300,37.3,39.8,6.2884,4.0198
Pike,430,38,40.5,7.29,4.5765
Pike,345,38.5,41,6.396,3.977
Pike,456,42.5,45.5,7.28,4.3225
Pike,510,42.5,45.5,6.825,4.459
Pike,540,43,45.8,7.786,5.1296
Pike,500,45,48,6.96,4.896
Pike,567,46,48.7,7.792,4.87
Pike,770,48,51.2,7.68,5.376
Pike,950,51.7,55.1,8.9262,6.1712
Pike,1250,56,59.7,10.6863,6.9849
Pike,1600,60,64,9.6,6.144
Pike,1550,60,64,9.6,6.144
Pike,1650,63.4,68,10.812,7.48
Smelt,6.7,9.8,10.8,1.7388,1.0476
Smelt,7.5,10.5,11.6,1.972,1.16
Smelt,7,10.6,11.6,1.7284,1.1484
Smelt,9.7,11,12,2.196,1.38
Smelt,9.8,11.2,12.4,2.0832,1.2772
Smelt,8.7,11.3,12.6,1.9782,1.2852
Smelt,10,11.8,13.1,2.2139,1.2838
Smelt,9.9,11.8,13.1,2.2139,1.1659
Smelt,9.8,12,13.2,2.2044,1.1484
Smelt,12.2,12.2,13.4,2.0904,1.3936
Smelt,13.4,12.4,13.5,2.43,1.269
Smelt,12.2,13,13.8,2.277,1.2558
Smelt,19.7,14.3,15.2,2.8728,2.0672
Smelt,19.9,15,16.2,2.9322,1.8792
